fueltype,aspiration,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
diesel,std,95.7,166.3,64.4,53,2275,110,3.27,3.35,22.5,56,4500,34,36,7898
diesel,std,95.7,166.3,64.4,52.8,2275,110,3.27,3.35,22.5,56,4500,38,47,7788
gas,std,95.7,166.3,64.4,53,2094,98,3.19,3.03,9,70,4800,38,47,7738
gas,std,95.7,166.3,64.4,52.8,2122,98,3.19,3.03,9,70,4800,28,34,8358
gas,std,95.7,166.3,64.4,52.8,2140,98,3.19,3.03,9,70,4800,28,34,9258
gas,std,94.5,168.7,64,52.6,2169,98,3.19,3.03,9,70,4800,29,34,8058
gas,std,94.5,168.7,64,52.6,2204,98,3.19,3.03,9,70,4800,29,34,8238
gas,std,94.5,168.7,64,52.6,2265,98,3.24,3.08,9.4,112,6600,26,29,9298
gas,std,94.5,168.7,64,52.6,2300,98,3.24,3.08,9.4,112,6600,26,29,9538
gas,std,98.4,176.2,65.6,52,2540,146,3.62,3.5,9.3,116,4800,24,30,8449
gas,std,98.4,176.2,65.6,52,2536,146,3.62,3.5,9.3,116,4800,24,30,9639
gas,std,98.4,176.2,65.6,52,2551,146,3.62,3.5,9.3,116,4800,24,30,9989
gas,std,98.4,176.2,65.6,52,2679,146,3.62,3.5,9.3,116,4800,24,30,11199
gas,std,98.4,176.2,65.6,52,2714,146,3.62,3.5,9.3,116,4800,24,30,11549
gas,std,98.4,176.2,65.6,53,2975,146,3.62,3.5,9.3,116,4800,24,30,17669
gas,std,102.4,175.6,66.5,54.9,2326,122,3.31,3.54,8.7,92,4200,29,34,8948
diesel,turbo,102.4,175.6,66.5,54.9,2480,110,3.27,3.35,22.5,73,4500,30,33,10698
gas,std,102.4,175.6,66.5,53.9,2414,122,3.31,3.54,8.7,92,4200,27,32,9988
gas,std,102.4,175.6,66.5,54.9,2414,122,3.31,3.54,8.7,92,4200,27,32,10898
gas,std,102.4,175.6,66.5,53.9,2458,122,3.31,3.54,8.7,92,4200,27,32,11248
gas,std,102.9,183.5,67.7,52,2976,171,3.27,3.35,9.3,161,5200,20,24,16558
gas,std,102.9,183.5,67.7,52,3016,171,3.27,3.35,9.3,161,5200,19,24,15998
gas,std,104.5,187.8,66.5,54.1,3131,171,3.27,3.35,9.2,156,5200,20,24,15690
gas,std,104.5,187.8,66.5,54.1,3151,161,3.27,3.35,9.2,156,5200,19,24,15750
diesel,std,97.3,171.7,65.5,55.7,2261,97,3.01,3.4,23,52,4800,37,46,7775
gas,std,97.3,171.7,65.5,55.7,2209,109,3.19,3.4,9,85,5250,27,34,7975
diesel,std,97.3,171.7,65.5,55.7,2264,97,3.01,3.4,23,52,4800,37,46,7995
gas,std,97.3,171.7,65.5,55.7,2212,109,3.19,3.4,9,85,5250,27,34,8195
gas,std,97.3,171.7,65.5,55.7,2275,109,3.19,3.4,9,85,5250,27,34,8495
diesel,turbo,97.3,171.7,65.5,55.7,2319,97,3.01,3.4,23,68,4500,37,42,9495
gas,std,97.3,171.7,65.5,55.7,2300,109,3.19,3.4,10,100,5500,26,32,9995
gas,std,94.5,159.3,64.2,55.6,2254,109,3.19,3.4,8.5,90,5500,24,29,11595
gas,std,94.5,165.7,64,51.4,2221,109,3.19,3.4,8.5,90,5500,24,29,9980
gas,std,100.4,180.2,66.9,55.1,2661,136,3.19,3.4,8.5,110,5500,19,24,13295
diesel,turbo,100.4,180.2,66.9,55.1,2579,97,3.01,3.4,23,68,4500,33,38,13845
gas,std,100.4,183.1,66.9,55.1,2563,109,3.19,3.4,9,88,5500,25,31,12290
gas,std,104.3,188.8,67.2,56.2,2912,141,3.78,3.15,9.5,114,5400,23,28,12940
gas,std,104.3,188.8,67.2,57.5,3034,141,3.78,3.15,9.5,114,5400,23,28,13415
gas,std,104.3,188.8,67.2,56.2,2935,141,3.78,3.15,9.5,114,5400,24,28,15985
gas,std,104.3,188.8,67.2,57.5,3042,141,3.78,3.15,9.5,114,5400,24,28,16515
gas,turbo,104.3,188.8,67.2,56.2,3045,130,3.62,3.15,7.5,162,5100,17,22,18420
gas,turbo,104.3,188.8,67.2,57.5,3157,130,3.62,3.15,7.5,162,5100,17,22,18950
gas,std,109.1,188.8,68.9,55.5,2952,141,3.78,3.15,9.5,114,5400,23,28,16845
gas,turbo,109.1,188.8,68.8,55.5,3049,141,3.78,3.15,8.7,160,5300,19,25,19045
gas,std,109.1,188.8,68.9,55.5,3012,173,3.58,2.87,8.8,134,5500,18,23,21485
diesel,turbo,109.1,188.8,68.9,55.5,3217,145,3.01,3.4,23,106,4800,26,27,22470
gas,turbo,109.1,188.8,68.9,55.5,3062,141,3.78,3.15,9.5,114,5400,19,25,22625
